Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Grenadoes,Hispaniola,Jamaica,Montserrat,Nevis,St. Cruz,St. Eustatia,St. Kitts,St. Martins,St. Vincents,Tortola,WI,,New Providence,Tortuga,Boston,Falmouth NE,New England,New Jersey,Newcastle DE,North Carolina,Philadelphia,Rhode Island,Salem,NA,,London,Bristol,Liverpool,GB,,Cork,Dublin,Galway,Londonderry,Newry,Sligo,Waterford,IRE,,Madeira,SEU,,TOTAL,
,,1771,,,,Sterling,,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tar,barrels,12.41,,0.05,165.69,0.374494538,,,,,,,,,,,,,,,0,0,,,,,,,,280,,,,280,105,,,,0,0,,,,,,,,0,0,,0,0,280,105
Turpentine,barrels,14.31,,0.05,165.69,0.431830527,,,,,,,,,,,,,,,0,0,,,,,,,,88,,,,88,38,,,,0,0,,,,,,,,0,0,,0,0,88,38
Wine,hhds,50,,0.5,165.69,15.08841813,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,10,10,151,10,151
Wine,pipes,50,,1,165.69,30.17683626,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,0,,,,0,0,,,,,,,,0,0,52,52,1569,52,1569
Wine,quarter casks,50,,0.25,165.69,7.544209065,,,,,,,,,,,,,,,0,0,,,,,,,,,1,,,1,8,,,,0,0,,,,,,,,0,0,8,8,60,9,68
Wine,cases,50,,,165.69,0,,,,,,,,,,,,,,,0,0,,,,,,,,,29,,,29,0,,,,0,0,,,,,,,,0,0,,0,0,29,0
Wine,casks,50,,,165.69,0,,,,,,,,,,,,,,,0,0,,,1,,,,,,,,,1,0,,,,0,0,,,,,,,,0,0,,0,0,1,0
Wine,gallons,50,,0.007936508,165.69,0.2394987,,,,,,,,,,,,,,,0,0,,,,,,,,,569,,50,619,148,,,,0,0,,,,,,,,0,0,,0,0,619,148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,,,,,15313,,,,,,,,,,,,,10843,,,,,5137,,,,,,,,,8530,,,1780,,41603
