Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Grenada,Grenadoes,Hispaniola,Jamaica,St. Croix,St. Eustatia,St. Kitts,St. VIncents,Tortola,WI,,New Providence,Boston,Falmouth,Marblehead,New York,Newfoundland,North Carolina,Philadelphia,Plymouth NE,Rhode Island,Salem,South Carolina,NA,,London,Bristol,Liverpool,Glasgow,GB,,Milford,Newry,Belfast,Cork,Dublin,Londonderry,Sligo,IRE,,Alicant,Bilboa,Cadiz,Leghorn,Lisbon,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1773,,,,Sterling,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rye meal,barrels,,,,166.27,0,,,,,,,,4,,,,,4,0,,1,,,,,,,,,,,1,0,,,,,0,0,,,,,,,,0,0,,,,,,60,60,0,,0,0,65,0
Salt,bushels,1.955,,0.05,166.27,0.05878992,,,,,,,,,,,,,0,0,,,,,,42,40,,,,,30,112,7,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,112,7
Scantling,pieces,9.552,,0.005,166.27,0.028724364,,,,,161,,,,,,37,,198,6,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,198,6
Scantling,feet,9.552,,0.0005,166.27,0.002872436,,,,5000,8000,,3000,,,,,,16000,46,,,,,,,,,,,,,0,0,,,40,,40,0,,,,,,,,0,0,,,,,220,,220,1,,0,0,16260,47
Seal skins,,,,,166.27,0,,,,,,,,,,,,,0,0,,184,,,,,,,,,,,184,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,184,0
Shingles,,,,,166.27,0,2000,,,,4000,,50000,,,,1000,20000,77000,0,2000,,,,,,,,,,,,2000,0,,,8000,,8000,0,,,,,,,,0,0,,,,,,,0,0,,0,0,87000,0
Ship bread,barrels,17.3,,0.089285714,166.27,0.928996726,34,,,,,,,,,,,,34,32,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,34,32
Staves and heading,,5.97,,0.001,166.27,0.003590545,40500,43818,2500,10000,33250,10000,184500,37400,,3800,7000,2200,374968,1346,400,38080,,,,13000,,,700,14000,,,66180,238,265433,70100,82432,9500,427465,1535,4000,27000,18000,20271,24200,9500,11300,114271,41,,8000,17732,,48738,6300,80770,290,,0,0,1063654,3450
Sugar,pounds,50.02,,0.000446429,166.27,0.013430178,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,0,0
Tar,barrels,13.79,,0.05,166.27,0.414686955,,,,,,,29,,,,,,29,12,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,29,12
Tar and turpentine,barrels,16.04,,0.05,166.27,0.482347988,,,,,,,,,,,,,0,0,,,12,,,,,,,,,,12,6,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,12,6
Tea,pounds,4.6,,0.05,166.27,0.138329224,,,,,,,68,,,,,,68,9,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,68,9
Tobacco,hhds,23.15,,0.5155,166.27,7.177377158,,,,,,,,,,,,,0,0,,,4,,,,,,,,,,4,29,8129,676,160,507,9472,67984,,,,,,,,0,0,,,,,362,,362,2598,,0,0,9838,70611
Turpentine,barrels,18.29,,0.05,166.27,0.550009021,,,,,,,15,,,,,,15,8,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,15,8
Walnut plank,feet,9.552,,0.0005,166.27,0.002872436,,,,,,,,,,,,,0,0,,,,800,,,,,,,,,800,2,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,800,2
Wheat,bushels,7.42,,0.05,166.27,0.223131052,1500,2500,,,,,1444,,,,,,5444,1215,200,,,,18744,83,,,,850,,,19877,4435,3464,10880,29365,,43709,9753,8000,4000,9465,,,2128,,23593,0,8000,,13800,7500,57259,8995,95554,21321,,0,0,188177,36724
Wine,gallons,56.75,,0.007936508,166.27,0.270882796,,,,,,,65,,,,,,65,18,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,65,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,,,21873,,,,,,,,,,,,,,28830,,,,,,95665,,,,,,,,,114,,,,,,,,43422,,,9,,189913
